Mg25	Latitude	Longitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	wind	srad	ai	awc	bulk_density	clay	coarse_frag	texture_usda	sand	silt	ph	CN	CEC	CaCO3	N	P	K	Mg_MMI_07	Mg_MMI_72
4270.801559	50.1797	8.50861	9.462499619	7.658333302	31.0053978	649.0906982	23.29999924	-1.399999976	24.69999886	16.04999924	5.283333302	17.63333321	1.666666746	691.0	70.0	46.0	13.00923252	199.0	147.0	189.0	165.0	3.058333397	10323.25	0.784099996	0.10096661	1.435713768	16.35499382	14.87907314	9.0	47.92358398	35.72142029	6.342851639	13.40141201	10.43769932	27.44953346	2.232156515	43.84607315	301.9967651	3.0	46.0
4265.655753	50.3	8.0	8.350000381	7.833333492	31.97278976	630.9876709	22.10000038	-2.400000095	24.5	4.550000191	4.099999905	16.31666756	0.816666663	801.0	81.0	55.0	11.55592823	222.0	179.0	201.0	206.0	3.375	10287.83301	0.976000011	0.098904356	1.355708122	18.09918785	16.00767517	9.0	36.78404236	45.11676788	4.773128033	16.29950905	9.557253838	5.910829544	2.145163774	10.79005718	195.2998657	2.0	38.0
4261.64098	40.72	-3.21	13.07916641	12.375	38.91509628	685.6564941	31.5	-0.300000012	31.79999924	9.100000381	22.0	22.0	5.349999905	392.0	52.0	10.0	39.35112762	143.0	48.0	48.0	112.0	2.433333397	15378.58301	0.268000007	0.08518251	1.362051249	16.15516853	21.99604797	9.0	49.18120575	34.66362762	7.741411686	11.14319611	16.11194611	205.2981567	1.649041533	11.96976757	311.082428	4.0	53.0
4260.898484	39.4	-5.78	14.79166698	11.46666718	38.09523773	652.6409302	32.40000153	2.299999952	30.10000229	8.316666603	23.36666679	23.36666679	7.516666412	597.0	87.0	6.0	53.45101166	244.0	41.0	41.0	230.0	2.841666698	16641.41602	0.365500003	0.079442419	1.433780789	14.36006546	21.94292068	9.0	42.39616394	43.2437706	6.666442871	10.58785152	11.18513489	43.16684723	2.019016266	24.43791199	258.2001953	2.0	37.0
4255.591946	40.51	-3.9	13.77916622	11.24166679	37.34772873	679.6003418	31.20000076	1.100000024	30.10000038	9.699999809	22.53333282	22.70000076	6.166666508	392.0	47.0	12.0	36.75873184	136.0	53.0	54.0	113.0	2.299999952	15888.33301	0.258899987	0.088458031	1.379724503	20.10092545	18.20256615	9.0	45.50051498	34.39855957	7.216134548	10.96978951	13.26262474	103.991272	1.36842823	15.46139145	250.8756104	6.0	63.0
4245.577212	39.48	16.28	16.52916718	7.825000286	32.4688797	607.9864502	30.20000076	6.099999905	24.10000038	13.88333321	24.20000076	24.23333359	9.600000381	875.0	131.0	12.0	58.31633377	380.0	57.0	91.0	322.0	2.316666603	15264.0	0.624300003	0.106871426	1.054161429	29.2415905	17.73362923	9.0	30.52514648	40.23326111	7.598414421	9.936676979	14.77260017	101.7504501	1.480608582	11.96796799	205.7619171	4.0	51.0
4233.80226	41.59	25.2	10.00833321	9.683333397	33.50634384	724.3644409	25.60000038	-3.299999952	28.89999962	6.233333111	18.41666603	18.91666794	1.25	645.0	72.0	33.0	21.38731194	188.0	113.0	143.0	179.0	2.525000095	13884.16699	0.533399999	0.099661522	0.979562521	19.21585274	23.08053207	9.0	51.15947723	29.62467194	5.348784924	14.46257973	16.55124855	2.945888519	1.524456382	4.798761845	206.7282104	2.0	34.0
4224.357235	40.11	-7.47	13.16250038	8.775000572	35.52631378	578.5802612	27.70000076	3.0	24.70000076	7.433333397	20.70000076	20.71666718	6.75	1133.0	173.0	12.0	58.26556396	481.0	67.0	73.0	470.0	3.483333349	16384.75	0.747799993	0.08273308	1.406786084	9.623511314	33.2203598	12.0	65.67893219	24.69755554	5.493866444	20.07227707	9.292191505	21.3500061	2.94461298	11.28601074	117.2625198	3.0	40.0
4223.916383	48.0653	-2.96591	11.64166641	6.816666603	37.45421219	423.49646	21.89999962	3.700000048	18.19999886	7.666666508	16.89999962	16.98333359	6.766666889	924.0	112.0	46.0	29.20458412	323.0	149.0	169.0	296.0	3.683333397	11604.66699	1.021999955	0.095898665	1.259821057	23.79732323	18.19880486	8.0	23.15660095	53.04607391	6.732379913	13.26095581	14.48871136	42.16316605	2.259282112	40.95669937	317.7758789	1.0	23.0
4223.824109	48.5	8.78	8.333333015	9.433333397	35.19900513	657.2612915	23.5	-3.299999952	26.79999924	14.85000038	1.5	16.56666565	0.466666698	858.0	93.0	59.0	15.48830414	263.0	183.0	244.0	199.0	2.658333302	11074.0	1.015300035	0.103344165	1.340318203	25.70285225	10.55141735	8.0	11.06613159	63.23101807	6.948334694	9.128858566	15.75138378	15.02491474	1.751911879	47.301754	337.7504578	3.0	46.0
4220.808098	40.04	-7.11	14.17083359	9.358333588	36.55598831	590.7255249	29.10000038	3.5	25.60000038	8.366666794	21.86666679	21.91666603	7.633333206	869.0	130.0	10.0	56.74134445	368.0	53.0	59.0	348.0	3.150000095	16524.08398	0.549300015	0.073271669	1.480619073	18.4458313	32.85367966	9.0	49.3884697	32.16569519	5.923941612	13.8148737	12.43848133	13.90392685	2.757064104	16.37852097	193.8041229	2.0	39.0
4219.805289	56.4606	15.8127	6.758333206	7.283333302	29.48718071	649.6566772	20.79999924	-3.900000095	24.69999886	7.416666508	1.433333278	15.14999962	-0.650000036	637.0	66.0	37.0	18.37969589	190.0	122.0	167.0	158.0	3.233333349	9930.25	0.877799988	0.072721347	1.140362144	7.422073364	17.38773346	12.0	71.86720276	20.71072388	5.481523037	15.90588951	10.47219849	0.631824076	2.619577885	25.93388939	51.60390854	2.0	38.0
4218.606219	43.37	-5.49	12.70833302	8.316666603	41.79229355	433.5835571	23.10000038	3.200000048	19.89999962	10.5666666	18.08333397	18.28333282	7.666666508	918.0	98.0	49.0	25.029356	282.0	151.0	156.0	264.0	2.533333302	12363.75	0.939100027	0.104291901	0.998014092	23.53089905	15.76597977	9.0	42.52046967	33.94863129	5.788592815	9.745921135	13.18541718	0.0	2.819361925	37.18387222	268.5770874	3.0	41.0
4210.187806	40.4	-4.77	12.41249943	10.625	37.15034866	640.213501	28.79999924	0.200000003	28.59999847	8.649999619	20.58333206	20.73333359	5.116666794	372.0	45.0	13.0	33.04503632	119.0	53.0	59.0	101.0	2.466666698	16015.16699	0.263200015	0.071156949	1.117782712	9.939997673	21.83790398	12.0	73.00289917	17.05710602	6.80219698	11.38270855	10.01524067	130.2145081	1.494039774	26.14358902	211.6473999	2.0	32.0
4208.824053	38.37	-2.66	14.59583282	13.54166603	39.82843018	735.2039185	34.5	0.5	34.0	10.25	24.06666565	24.26666641	6.400000095	395.0	52.0	6.0	45.96033859	145.0	33.0	36.0	131.0	3.158333302	16689.08398	0.230900005	0.103613757	1.303781033	27.44371223	17.38303757	9.0	30.41268921	42.14360046	7.835456371	11.80963612	17.69649124	383.2479553	1.264118075	15.45154476	327.6231079	3.0	47.0
4199.490923	48.42	8.79	8.120833397	9.058333397	34.31187057	655.1768188	22.89999962	-3.5	26.39999962	14.65000057	1.266666651	16.31666565	0.283333272	831.0	92.0	55.0	16.52410889	258.0	175.0	242.0	192.0	2.674999952	11165.91699	0.99849999	0.116252601	1.175788522	27.73550797	10.10004139	3.0	10.04071808	62.22377396	6.501857758	10.80768108	15.60369873	13.29171658	1.719209194	31.05168152	337.3516541	3.0	46.0
4199.414794	48.39	8.85	8.362500191	9.391666412	35.1747818	661.3110962	23.29999924	-3.400000095	26.69999886	14.96666622	1.466666698	16.61666679	0.416666657	795.0	95.0	50.0	21.12575912	261.0	154.0	247.0	166.0	2.533333302	11140.75	0.948000014	0.112337798	1.19122684	27.26257896	10.02545738	8.0	13.58052826	59.15689087	7.05670023	9.598286629	20.15894508	28.45934105	1.765519261	40.07578659	307.980896	3.0	46.0
4191.191807	41.53	23.39	12.07499981	10.86666679	34.38818359	777.7692261	29.20000076	-2.400000095	31.60000038	15.96666718	21.0	21.68333435	2.516666651	506.0	54.0	30.0	19.04777718	148.0	102.0	123.0	120.0	1.808333278	13799.41699	0.410100013	0.09703242	1.398598671	20.00220871	19.71159554	5.0	47.34571457	32.65207672	6.862112045	13.09198475	25.81601715	87.66894531	1.021446347	10.28084946	161.1278839	2.0	39.0
4177.129944	37.38	-6.01	18.59166718	11.5666666	41.01654816	587.0799561	34.40000153	6.199999809	28.20000076	12.59999943	26.0	26.13333321	11.76666641	528.0	93.0	2.0	67.36336517	250.0	22.0	27.0	222.0	2.75	17329.25	0.293300003	0.090595007	1.3189044	29.26683235	11.85765362	2.0	42.35681152	28.37635803	7.304178715	11.06073856	18.18533897	98.49208069	1.25445354	22.72826195	605.0390015	4.0	52.0
4174.946148	54.6	-2.3	6.070833206	6.591666698	35.63063049	438.9784546	16.89999962	-1.600000024	18.5	1.966666698	7.5	11.76666641	1.133333325	1719.0	193.0	100.0	24.63622284	566.0	304.0	342.0	516.0	6.816666603	8948.833008	2.927099943	0.078369416	1.170099974	6.272722721	23.46931648	9.0	82.1975174	11.52976227	5.098470211	18.87295532	22.50311852	0.0	4.785502434	24.16426086	234.7928467	3.0	43.0
4167.775435	55.705	13.196	8.279166222	6.358333111	27.17236328	650.5678101	21.5	-1.899999976	23.39999962	8.916666985	3.066666603	16.56666756	0.75	637.0	66.0	33.0	20.77678299	193.0	117.0	170.0	148.0	3.941666603	9838.75	0.789399981	0.075119704	1.490035295	9.181242943	8.101230621	12.0	71.26557159	19.55318451	5.816559315	15.35336876	9.054650307	4.677136898	1.897607803	31.69581032	146.8051147	2.0	34.0
4161.79043	40.93	-3.31	12.13333321	11.66666698	38.25136566	671.583374	29.89999962	-0.600000024	30.5	8.216667175	20.83333397	20.91666603	4.599999905	383.0	47.0	12.0	34.23521423	129.0	54.0	56.0	102.0	2.533333302	15366.25	0.270300001	0.087099083	1.403121829	15.60559177	33.75802612	9.0	47.77297211	36.62143707	6.936666489	10.47367764	10.43457222	116.1137619	1.119637489	11.86005974	214.9658966	4.0	55.0
4153.670585	40.94	-1.37	10.75833321	13.6833334	42.49482346	654.9733887	29.5	-2.700000048	32.20000076	12.58333397	4.366666794	19.29999924	3.416666746	462.0	74.0	22.0	39.75863266	177.0	72.0	123.0	84.0	3.049999952	15501.08301	0.319999993	0.107072368	1.356473804	21.6069355	24.51190758	9.0	47.88584137	30.50722504	6.304683208	15.05481243	25.08392525	185.1400757	1.631499648	22.91397285	228.1381836	2.0	31.0
4149.943328	42.34	-3.0	10.16250038	10.50833321	40.10814285	569.8649292	25.39999962	-0.800000012	26.19999886	11.60000038	17.46666718	17.46666718	3.666666746	543.0	62.0	25.0	25.41847038	169.0	91.0	91.0	148.0	2.983333349	14069.0	0.466100007	0.112587273	1.143812656	27.81241608	16.82024384	9.0	37.79415894	34.39342499	7.022621632	10.34522629	14.42027664	115.2263107	1.919373512	22.50727463	225.4801331	3.0	42.0
4148.124147	48.6103	2.3086	11.0666666	8.383333206	35.22409058	575.3549805	24.79999924	1.0	23.79999924	16.51666641	5.133333206	18.33333397	4.266666889	621.0	61.0	43.0	9.042078018	166.0	145.0	148.0	151.0	3.941666603	11369.41699	0.6329	0.08354257	1.189141035	16.73218727	9.772885323	9.0	45.88599396	37.38182068	7.035028934	10.51954269	13.36695671	54.73682785	1.697903156	41.2544136	275.2939453	1.0	29.0
4147.899637	41.89	-2.79	9.350000381	10.53333378	38.58363724	602.0344238	25.20000076	-2.099999905	27.30000114	10.8166666	17.14999962	17.14999962	2.583333254	495.0	59.0	22.0	26.04772568	154.0	81.0	81.0	136.0	3.233333349	14787.66699	0.410400003	0.105305411	1.163641095	19.08428574	16.70148659	9.0	54.73969269	26.17602539	6.366279125	13.33772564	11.05226326	2.226088047	1.953778744	12.62514019	146.8557434	1.0	17.0
4133.192167	39.15	-4.54	14.22916698	11.4416666	37.26927185	678.8206787	32.0	1.299999952	30.70000076	10.25	22.96666718	23.06666565	6.549999714	461.0	64.0	7.0	46.07997894	170.0	39.0	43.0	157.0	2.474999905	16660.83398	0.29550001	0.094694979	1.356438041	21.25582123	24.01678276	9.0	44.36898041	34.37519836	6.66609621	10.66341496	10.92017365	126.5327301	1.970266223	22.29614067	340.5368347	1.0	17.0
4132.651299	40.45	-3.67	14.17916679	10.75833321	36.3457222	676.288208	31.29999924	1.700000048	29.59999847	10.03333378	23.04999924	23.04999924	6.566666603	425.0	56.0	10.0	41.96415329	156.0	49.0	49.0	127.0	2.308333397	15835.08301	0.277099997	0.075636856	1.422184706	17.15048981	18.33588219	9.0	45.3804245	37.46908569	7.549965858	11.60664082	17.99473763	60.11817551	1.401857615	10.02896214	368.4266052	6.0	61.0
4130.35922	50.5	-4.5	9.658333778	6.150000095	37.5	383.0133972	18.70000076	2.299999952	16.40000153	6.400000095	12.95000076	14.55000019	5.449999809	1152.0	139.0	67.0	28.28099251	403.0	208.0	234.0	366.0	5.533333302	10566.83301	1.539100051	0.105993129	0.963584721	26.74670982	24.74900055	9.0	26.20877075	47.04451752	5.907766819	9.80183506	11.15669632	11.43183613	2.55812335	44.46256256	204.885376	2.0	34.0
