Accession_ID	Mg_blues (µg/g DW)	Latitude	Longitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	awc	bulk_density	CaCO3	CEC	clay	CN	coarse_fragments	K	N	P	ph	sand	silt	srad_mean	ai	Mg(Soil) mg/kg
763	4205.255459	42.3	74.3667	-2.995833397	13.67500019	29.72826195	1198.782471	19.89999962	-26.10000038	46	8.016666412	-18.33333397	10.11666679	-18.33333397	451	72	16	48.31715393	193	56	153	56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14876.75	0.448000014	NA
766	5465.654017	42.5833	73.6333	-4.283333302	13.51666641	32.64895248	1032.25769	16.89999962	-24.5	41.40000153	0.533333182	-16.96666718	7.349999905	-16.96666718	639	93	25	40.87260437	253	87	197	87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14493.83301	0.649600029	NA
768	4613.823876	42.8	76.35	0.716666698	10.39999962	29.05027771	962.5825195	18.70000076	-17.10000038	35.80000305	9.699999809	-11.5	11.71666718	-11.5	356	60	7	65.94456482	173	25	165	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14747.58301	0.353399992	NA
772	5299.316902	37.35	72.4667	1.625	12.5	31.09452629	1026.581909	22.10000038	-18.10000038	40.20000076	-0.016666651	13.40000057	13.61666679	-11.16666698	155	27	2	58.00998688	74	14	21	41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15208.66699	0.132499993	NA
801	5235.358645	37.9169	-84.4639	12.5583334	11.88333321	33.66383362	882.3466187	30.10000038	-5.199999809	35.29999924	21.10000038	13.63333321	23.18333244	1.333333373	1169	120	70	15.98645496	345	248	322	265	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14092.75	0.916299999	NA
870	5134.344489	41.8266	-86.4366	9.583333015	10.0666666	27.57990837	974.0410767	28	-8.5	36.5	21.26666641	-1.416666746	21.26666641	-2.866666794	985	100	46	20.11054039	286	174	286	183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13051.25	0.873000026	NA
915	5694.14748	41.8972	-71.4378	9.708333015	11.34999943	31.35359001	910.1793823	27.89999962	-8.300000191	36.20000076	1.133333325	18.13333321	20.76666641	-1.649999976	1206	118	86	8.876941681	331	272	280	306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13269.58301	1.044399977	NA
932	5550.328462	42.3634	-71.1445	10.20833302	11.36666679	30.55555534	934.1958618	29.20000076	-8	37.20000076	1.200000048	19.13333321	21.66666603	-1.449999928	1140	106	86	7.120557308	308	263	268	288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12965.33301	0.916000009	NA
991	5370.420327	55.3833	14.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
992	5148.493601	55.3833	14.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
