Mg(Leaf)	latitude	longitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	wind	srad	ai	awc	bulk_density	clay	coarse_frag	texture_usda	sand	silt	pH	CN	CEC	CaCO3	N	P	K	Mg(Soil)
6425.217028	55.9473	13.821	6.800000191	7.099999905	29.83193398	632.6710815	20.39999962	-3.400000095	23.79999924	3.716666698	5.483333111	14.86666679	-0.566666663	781	80	46	19.21126175	237	152	194	199	3.266666651	9807.5	1.100299954	0.075444773	1.114229679	8.573512077	9.122881889	12	64.65504456	26.77144623	5.099497795	16.01782799	11.40405273	8.995235443	2.903223276	34.8819313	99.04319763	37
6106.090545	55.7714	14.1208	7.400000095	6.966666698	29.64539146	620.901123	21	-2.5	23.5	4.400000095	2.383333445	15.38333321	0.283333331	697	72	40	19.01852226	211	135	179	171	4.741666794	9921.916992	0.954400003	0.067773469	1.265206575	5.83579731	6.162236214	12	76.00878906	18.15541077	5.306688309	16.93301201	11.27379608	11.3391571	2.775038958	43.91685104	128.4640503	40
5937.667641	49.4112	16.2815	7.395833492	8.241666794	30.07907486	733.8084106	22.5	-4.900000095	27.39999962	16.35000038	-0.300000012	16.35000038	-1.633333325	560	85	26	42.74531555	226	82	226	85	3.858333349	10930.91699	0.642199993	0.082404971	1.400041461	18.05256653	16.11732292	9	44.13959503	37.80783844	5.724782944	10.38245678	11.53142357	0	2.134118557	38.88417053	205.5180206	47
5936.194976	55.4234	13.9905	7.9375	6.741666317	28.56638336	631.2761841	21.29999924	-2.299999952	23.59999847	8.766666412	2.783333302	15.96666622	0.650000036	625	70	35	23.54902267	205	118	149	153	5.191666603	10084.16699	0.837400019	0.077214062	1.426484346	14.06045628	6.882913113	12	64.81222534	21.12731934	6.321225166	11.38406277	13.24622822	10.35396385	2.153087139	56.94608688	138.1038666	39
5842.619693	50.0667	8.5333	10.33749962	8.458333015	32.53205109	672.6478271	25.10000038	-0.899999976	26	17.16666603	6.133333206	18.81666756	2.25	592	64	38	16.0363884	180	121	171	132	2.724999905	10368.41699	0.643100023	0.085787334	1.084117293	17.27628708	7.450330734	6	54.80624008	27.91747284	6.733436108	13.33543205	11.83618355	54.41788101	1.57054913	32.7956543	158.9656219	43
5841.596886	49.5166	9.3166	8.375	8.383333206	32.61997604	668.694458	22.79999924	-2.900000095	25.69999886	1.333333373	8.100000381	16.75	0.316666633	815	91	53	14.85519505	239	183	196	236	3.075000048	10662.33301	0.974099994	0.113260776	1.135579348	25.21360207	10.18247604	3	21.60198975	53.1844101	6.776215076	10.21646786	17.99176216	15.03878212	1.951367617	35.70798111	272.7032166	36
5780.468701	41.62	12.87	15.65833378	10.23333359	37.4847374	624.1424561	31	3.700000048	27.29999924	12.61666679	23.60000038	23.60000038	8.566666603	984	144	25	43.9987793	385	104	104	310	2.049999952	14648.08301	0.738200009	0.122703731	0.997447908	29.57351112	6.02536726	9	31.19380188	39.2326889	6.997727394	10.68985462	21.1458683	93.35690308	1.940408587	26.23869705	552.1654053	48
5771.758484	46.37	11.28	10.8708334	9.858333588	33.08165359	754.6445923	26.70000076	-3.099999905	29.80000114	20.18333435	3.5	20.18333435	1.666666627	770	92	31	32.76743698	255	112	255	112	1.049999952	12462.16699	0.778199971	0.112557448	1.100145459	24.39643097	30.96445847	9	35.08943176	40.51413727	6.350336075	14.08211803	30.53141785	15.20370865	2.971410513	28.02788544	151.5265198	52
5758.305922	56.06	14.29	7.425000191	7.600000381	31.2757206	637.5788574	21.5	-2.799999952	24.29999924	14.78333378	2.416666508	15.60000038	0.049999993	575	60	32	20.48856544	173	104	167	125	4.300000191	9883.083008	0.784300029	0.071636371	1.522172213	6.884860992	8.382564545	12	74.22499084	18.89015198	5.968779564	12.10207176	10.55120087	26.39396667	1.714125752	40.81027603	104.6217575	36
5738.625771	49.3667	16.2667	7.804166794	8.408333778	30.24580383	742.3563843	23.10000038	-4.699999809	27.79999924	16.85000038	0.01666672	16.85000038	-1.350000024	533	82	24	44.10128784	218	76	218	78	3.599999905	10949.58301	0.598800004	0.083690062	1.448729992	12.89013767	16.02251244	9	44.20360184	42.90626144	5.271644115	14.64622784	10.36869335	0	1.608090878	25.184412	180.9618988	47
5731.685932	55.7491	13.399	7.895833492	6.825000286	28.91949081	642.7301636	21.20000076	-2.400000095	23.60000038	8.550000191	2.766666651	16.04999924	0.416666657	674	70	37	20.54702759	205	125	181	158	3.158333302	9829.333008	0.888199985	0.076592125	1.141643763	12.95347691	7.555639267	12	64.85991669	22.18660736	6.489133358	11.9537344	12.88129234	3.066901207	1.764479756	46.89822006	133.4222565	36
