Mg(Leaf)	latitude	longitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	wind	srad	ai	awc	bulk_density	clay	coarse_frag	texture_usda	sand	silt	pH	CN	CEC	CaCO3	N	P	K	Mg(Soil)
5071.997094	62.6425	17.7422	3.254166603	7.974999905	26.4950161	803.496521	19.5	-10.60000038	30.10000038	8.716666222	-2.666666746	13.63333321	-6.233333588	720	80	37	25.90145111	232	128	205	149	3.458333254	9029.833008	1.131899953	0.071507491	1.162726164	5.468449593	12.16586304	12	78.99017334	15.54137421	4.223058701	21.62545013	13.20458794	10.96380615	3.85798049	32.58263016	175.8751221	28
5069.327768	62.6422	17.7406	3.191666603	7.949999809	26.41195869	801.9205322	19.5	-10.60000038	30.10000038	8.616666794	-2.700000048	13.55000019	-6.300000191	729	82	38	25.93966866	236	130	208	152	3.433333397	9028.75	1.13380003	0.071507491	1.162726164	5.468449593	12.16586304	12	78.99017334	15.54137421	4.223058701	21.62545013	13.20458794	10.96380615	3.85798049	32.58263016	175.8751221	28
5068.566369	55.9497	13.5533	7.300000191	7.099999905	29.58333397	641.0042114	20.89999962	-3.099999905	24	4.116666794	6.066666603	15.46666718	-0.183333337	781	82	45	20.58187866	240	148	197	200	2.916666746	9804.833008	1.063699961	0.085183129	1.083849788	15.95274353	6.887479305	12	60.93385315	23.11340332	6.122347832	12.99338627	13.86440468	11.80698681	2.346420765	38.72304916	95.3522644	36
5064.879159	54.4	-2.9	7.950000286	6.650000095	37.35955048	432.434967	18	0.200000003	17.79999924	5.683333397	9.483333588	13.45000076	2.916666746	1688	189	96	26.23675728	558	289	335	496	5.108333588	8970.75	2.687900066	0.103684366	1.047110081	22.27962685	24.98801804	9	37.15213013	40.56824493	5.288545132	11.87505054	12.64304829	0	4.548619747	73.43497467	222.2190094	37
5063.833365	55.9494	-3.16028	8.479166985	7.008333206	38.08876801	424.1004333	19	0.600000024	18.39999962	8.883333206	5.199999809	14.01666641	3.733333349	685	70	42	13.89909267	192	143	172	174	5.533333302	8759	0.928200006	0.089539893	1.417573333	19.65177155	13.07296181	12	53.92515564	26.42307281	5.309776306	15.96932507	18.66749573	74.47330475	2.908742666	29.60372543	166.0075989	41
5062.741646	57.6781	14.9986	5.737500191	7.925000191	29.24354172	709.116333	21.10000038	-6	27.10000038	13.60000038	0.366666704	14.8166666	-2.566666603	650	74	33	24.10799789	207	112	198	138	3.191666603	9673.833008	0.916000009	0.085120372	1.117466807	12.55223846	8.509848595	12	50.66641235	36.78134918	4.684586048	21.98562431	8.941595078	0	2.262311697	21.12985802	106.5011826	25
5062.736154	38.97	16.34	15.65833282	7.166666985	32.42835617	554.8866577	28	5.900000095	22.10000038	13.6833334	22.45000076	22.73333359	9.350000381	1014	146	22	55.96841431	420	72	102	376	2.941666603	14863.16699	0.761300027	0.112786949	1.231989503	26.7522068	17.48185539	9	37.94212341	35.30567169	6.73382473	10.52972317	14.9551754	68.84323883	1.569786906	24.74732018	429.1471558	21
5062.189973	53.6473	-3.00733	9.816666603	6.300000191	35.39325714	439.784729	19.60000038	1.799999952	17.80000114	7.733333111	11.21666718	15.38333321	4.766666412	869	98	50	23.80173492	286	163	195	227	5.333333492	9480.416992	1.139600039	0.087159991	1.28665781	15.83491898	12.30527496	12	61.02239227	23.14268494	6.090087414	16.48056984	11.83993816	37.51324463	1.947421551	20.42247772	174.1461487	41
5061.700086	49.4013	16.2326	7.345833302	8.358333588	30.28381729	733.6535645	22.60000038	-5	27.60000038	16.29999924	-0.366666675	16.29999924	-1.683333397	560	84	26	42.54829407	226	82	226	85	3.858333349	10929.41699	0.640900016	0.092415601	1.367708564	15.61371231	15.99536133	9	50.20911407	34.1771698	5.676602364	11.11383152	9.663686752	2.04831624	1.524151206	33.96364594	187.0365753	47
5052.019169	40.82	-1.68	10.08749962	14.25833321	43.73721695	654.3842773	29.20000076	-3.400000095	32.60000229	11.80000019	18.51666641	18.66666603	2.850000143	543	76	27	30.32813072	184	101	113	124	2.933333397	15494.91699	0.375800014	0.108594507	1.01813817	22.2317028	26.27221489	9	51.25431442	26.51398468	6.589474678	13.69599724	15.46468639	111.1223679	1.669631958	19.67202187	189.5584717	42
5051.275116	46.5438	11.5614	7.849999905	9.266666412	33.21385956	707.9804688	22.89999962	-5	27.89999962	16.60000038	-0.75	16.60000038	-0.75	712	96	27	43.07846451	279	87	279	87	1.299999952	12481.08301	0.764199972	0.098016009	1.079565287	15.00649738	29.6984024	9	53.21082306	31.7826767	6.017343998	11.61182213	15.9058094	12.18811226	2.478268862	36.64203644	133.4633331	54
5048.997454	41.54	24.98	10.17916679	9.824999809	33.53242493	734.0252075	25.89999962	-3.400000095	29.29999924	2.683333397	18.58333397	19.16666603	1.200000048	624	71	33	22.2667675	186	110	138	174	2.424999952	13803.08301	0.524200022	0.123470128	0.912313998	25.92568398	25.92663956	9	39.77219391	34.30212402	5.652880669	13.94390392	12.98033619	3.373866796	1.429156423	22.48155975	252.1969299	26
5048.435848	41.77	25.68	12.0583334	10.94999981	34.43396378	780.0548706	29.10000038	-2.700000048	31.80000114	7.733333111	21	21.63333321	2.466666698	583	68	31	22.93811226	182	100	119	162	2.091666698	14068.41699	0.4736	0.097325027	1.110877275	23.13390923	18.52409172	9	37.59230042	39.27378845	6.666927814	11.31642532	36.98034668	8.956834793	1.099174142	17.80145836	408.8473511	47
5046.897531	56.4	12.9	6.766666412	6.650000095	28.41880417	635.2963867	19.79999924	-3.599999905	23.39999962	3.733333111	5.566666603	14.78333282	-0.683333337	948	99	52	22.07296753	286	174	255	235	4.574999809	9762.75	1.375499964	0.071191512	1.320398688	7.123396873	10.11996555	12	69.05709839	23.81950378	4.457184792	19.19123459	9.416226387	2.108280659	1.976495624	23.11120033	126.9932404	33
5046.087557	57.3263	15.8979	6.375	9.516666412	33.27505875	700.4268188	22.60000038	-6	28.60000038	14.26666737	1.083333254	15.41666698	-1.816666722	560	62	32	21.73464394	180	104	173	118	2.474999905	9833.416992	0.759599984	0.078865007	1.120264053	16.28792191	11.78704166	5	60.46726227	23.24481201	5.06132555	21.42012215	12.91197395	0	2.227679014	19.85678101	101.2026215	34
