Accession_ID	Name	Country	Latitude	Longitude	CS_number	material	material_Country	Li7	Na23	Mg25	P31	S34	K39	Ca43	Mn55	Fe57	Co59	Cu65	Zn66	As75	Se82	Rb85	Sr88	Mo98	Cd114
9808	Tu-B2-3	GER	48.52	9.08	CS77392	leaf	GER_leaf	14.1564518	994.3258744	4840.727262	16119.33659	12102.87952	86058.20037	42022.25327	221.9708899	145.0315717	2.61390596	7.630152578	89.81853508	0.919921121	63.76634685	451.829959	64.0288745	4.82229095	2.455494584
9809	Tu-KB-6	GER	48.52	9.05	CS77393	leaf	GER_leaf	15.09197538	2005.109918	4943.227825	15926.41605	12803.16326	67185.76241	42692.36216	222.5152435	141.2048545	3.120711784	7.547489753	85.21038664	0.929633278	76.23156646	370.686633	67.5892816	15.57957288	2.479259818
9810	Tu-KS-7	GER	48.53	9.07	CS77394	leaf	GER_leaf	14.55567919	777.4772391	4933.446334	16471.44955	13912.25169	72604.36198	39009.10126	233.0207377	137.2624889	2.293073447	7.352562761	90.32488482	0.981015827	91.51577791	453.1113367	62.88170616	6.54157906	2.715698643
9811	Tu-NK-12	GER	48.52	9.05	CS77395	leaf	GER_leaf	14.87613382	932.1182449	4310.894328	14830.11018	12379.17917	71497.43059	39990.02669	249.7034463	139.8417569	2.485511925	8.052221244	96.990233	0.979262352	72.14049876	420.4628741	64.48532179	0.989583601	2.804923925
9812	Tu-W1	GER	48.52	9.03	CS77397	leaf	GER_leaf	14.52472066	916.6608589	4732.971523	17506.24658	12232.20731	67521.29924	44880.2223	222.79752	143.7122543	2.076538179	6.823020211	85.57408537	0.958023182	64.6974391	375.4330262	72.37008381	6.331495265	2.170939785
9813	BI-4	GER	48.4	8.77	CS76706	leaf	GER_leaf	14.38180996	1174.678375	4861.195	15409.89836	12046.21749	76114.81676	41177.61101	233.1057359	136.7893571	3.036357174	8.747303346	119.5916555	1.030550949	68.40228195	462.4529986	65.11400317	5.035708107	2.614098175
9814	Fell1-10	GER	48.42	8.79	CS76855	leaf	GER_leaf	14.24789758	970.7924531	4199.490923	14281.20571	13274.26049	76935.01596	39811.90057	220.6943547	137.2245378	3.118541847	8.182335007	98.42475014	0.973241695	77.06186293	438.9778372	61.51321408	5.337111362	2.498476257
9815	Ha-HBT3-11	GER	48.54	9.02	CS76900	leaf	GER_leaf	14.44900898	986.0354858	4766.213766	16802.84225	12702.86998	73405.4622	41900.45798	215.0814156	139.5697743	1.857149199	8.643718253	90.85937588	1.006657201	66.88027915	410.1197434	66.2036402	1.688238246	2.518749124
9816	Tu-WH	GER	48.55	9.06	CS77398	leaf	GER_leaf	15.3622875	849.0452922	5140.710607	15167.86208	11223.2249	71864.71087	41267.95998	240.565752	142.9684631	2.480524151	8.279884653	99.61725599	1.000563449	64.04676506	391.2015644	67.11309796	11.09602774	2.80389673
9817	Ace-0	Spain	39.84	-6.6	CS76642	leaf	Spain_leaf	15.68817733	967.4321556	4051.100385	13745.11227	14727.77695	62752.84096	40986.52703	234.6808964	137.5054172	1.757072806	8.94300638	101.9914658	0.96487566	113.0381003	357.1979083	64.12178305	8.160707189	2.599695013
